Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year,Reason
"Behind Closed Doors Reserva Lisboa Red 2016, Portugal",Portugal,Red,Smooth ,,MEDIUM,"An indulgent, rich blend of Portugal's native grapes from one of the country's most awarded wineries. It's big, powerful and bursting with intense flavours of plum, blackberry and vanilla. If you like Porta 6, you'll love this.",10.99,IWC 2019 - Bronze Award,14.0,75.0,5.0,,no grapes could be parsed
The Guv'nor,Spain,Red,Smooth ,,FULL,"The Guv'nor is made by our favourite winemakers. We told them to craft a wine they'd drink at home and to forget any rules. It's a limitless wine. The result is a deep, multi-regional Tempranillo that's powerful bramble, blackcurrant and vanilla bouquet means it's a constant sell-out.",8.99,,14.0,75.0,6.0,,no grapes could be parsed
"Château Recougne 2016, Bordeaux Supérieur",France,Red,Big ,,MEDIUM,"Head off the beaten track in Bordeaux and you'll find delicious reds at a steal. Château Recougne is a prime example of this in action. It's packed with delectable bramble notes, regal spices and integrated tannins. In its prime with beef.",11.99,Decanter 2019 - Bronze Award,14.5,75.0,7.0,,no grapes could be parsed
Porta 6 Reserva 2017,Portugal,Red,Smooth ,,MEDIUM,"How could we make Porta 6, our best-ever-selling, celebrity-chef-backed red, EVEN better? With the help of a Master of Wine, we sourced out some of the best vineyards. We slowly aged this juice in oak barrels. The result: Porta 6 Reserva, a smooth, lavish red. It's the Saturday-night juice ideal for Porta 6 fans.",11.99,,14.0,75.0,12.0,,no grapes could be parsed
La Belle Angele Rose 2018 VdF,France,Rose,,,DRY,"This is proof that tearing up the region-based rule book saves you a packet. Bursting with aromas of stone fruit, raspberry, strawberry and white flowers, you'd be forgiven for being convinced it's Provence pink.",8.99,,12.5,75.0,13.0,,no grapes could be parsed
Porta 6 Vinho Verde 2018,Portugal,White,Crisp ,,DRY,"Following the best-selling, celebrity-chef-backed Porta 6, this Vinho Verde triumphantly entered our exclusive range. Made on the cusp of the Atlantic by a first-class Portuguese winery, Vidigal, cool-ocean breezes gift a fresh, fruity flavour to this juice - it's your perfect refresher. Green fruits dominate.",8.99,"IWC 2019 - Commended Award, IWC 2018 - Commended Award, award",9.5,75.0,14.0,,no grapes could be parsed
Floração Rosé,Portugal,Rose,,,DRY,"'Floração' is the Portuguese word for blossoming; a nod to the beautiful Jacaranda trees that blossom along the streets of Lisbon at the start of summer. Loaded with thirst-quenching flavours of wild strawberry, raspberry and redcurrant, this is a real treat. With a refreshingly dry finish and crisp acidity, Floração is the perfect Rosé for long summer days.",7.99,,12.5,75.0,15.0,,no grapes could be parsed
Definition Albarino 2018,Spain,White,Crisp ,,DRY,The Definition range captures the quintessential qualities of the world's greatest wine styles. So when we wanted to find a stellar Albariño bursting with fresh fruit and a whiff of sea air - we approached a Majestic icon. The producer's other Albariños already have sky-high 'Buy It Again' ratings - but this is sublime.,11.99,IWC 2018 - Silver Award,13.0,75.0,18.0,,no grapes could be parsed
"Valsordo Old Vines Garnacha 2018, Cebreros",Spain,Red,Fruity ,,MEDIUM,"This rare red hails from the village of Cebreros located at the heart of this mountain range. Making wine there is tough. The region is sparsely populated and winemakers toil on remote mountain slopes. However, the quality of Garnach has finally won through with Cebreros winning coveted DO status in 2017!",13.99,,14.5,75.0,25.0,,no grapes could be parsed
Winemaker Series Godello,Spain,White,Crisp ,,DRY,"Godello has been one of the great success stories of the past few years and this wonderful example from Katia Alvarez shows why - crisp, fresh and packed with delicious apple, citrus and mineral flavours.",11.99,,13.0,75.0,26.0,,no grapes could be parsed
Jas de Vignes IGP Mediterranee Rosé 2018,France,Rose,,,DRY,"The prices of Provence pink are skyrocketing with demand. But you just need to head slightly off the beaten track to find a rosé double at a snip of the usual asking price. This is pumping with refreshing notes of watermelon, peach and ripe strawberry. It's proof that French pink still exists at a snip.",9.99,,13.0,75.0,28.0,,no grapes could be parsed
